prim_db	prim_id	prim_alt	sec_db	sec_id	sec_alt	trim_left	trim_right	red_db	red_id	red_alt	E-value	gap	orient	count	total	adj_p-value	p-value
meme.xml	6	MEME	meme.xml	4	MEME	0	0	.	.	.	3.74e-131	0	1	64	125	8.87e-138	7.99e-137
meme.xml	6	MEME	meme.xml	4	MEME	0	0	.	.	.	3.74e-131	0	4	64	125	1.45e-118	1.30e-117
meme.xml	6	MEME	meme.xml	4	MEME	0	0	.	.	.	3.74e-131	0	6	64	125	1.45e-118	1.30e-117
meme.xml	6	MEME	meme.xml	4	MEME	0	0	.	.	.	3.74e-131	0	8	64	125	2.10e-99	1.89e-98
meme.xml	6	MEME	meme.xml	4	MEME	0	0	.	.	.	3.74e-131	109	3	15	125	3.02e-23	2.72e-22
meme.xml	6	MEME	meme.xml	4	MEME	0	0	.	.	.	3.74e-131	109	5	15	125	8.05e-19	7.24e-18
meme.xml	6	MEME	meme.xml	4	MEME	0	0	.	.	.	3.74e-131	109	7	15	125	8.05e-19	7.24e-18
meme.xml	6	MEME	meme.xml	4	MEME	0	0	.	.	.	3.74e-131	109	8	15	125	1.74e-14	1.56e-13
meme.xml	6	MEME	meme.xml	4	MEME	0	0	.	.	.	3.74e-131	110	3	7	125	9.74e-10	8.77e-09
meme.xml	6	MEME	meme.xml	4	MEME	0	0	.	.	.	3.74e-131	110	5	7	125	1.01e-07	9.12e-07
meme.xml	6	MEME	meme.xml	4	MEME	0	0	.	.	.	3.74e-131	110	7	7	125	1.01e-07	9.12e-07
meme.xml	6	MEME	meme.xml	4	MEME	0	0	.	.	.	3.74e-131	108	3	5	125	7.10e-07	6.39e-06
meme.xml	6	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F6_HUMAN.H11MO.0.A	.	1	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	4	MEME	3.44e-115	0	5	67	152	7.18e-122	6.46e-121
meme.xml	6	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F6_HUMAN.H11MO.0.A	.	1	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	4	MEME	3.44e-115	0	0	52	152	1.40e-103	1.26e-102
meme.xml	6	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F6_HUMAN.H11MO.0.A	.	1	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	4	MEME	3.44e-115	0	8	67	152	7.86e-102	7.07e-101
meme.xml	6	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F6_HUMAN.H11MO.0.A	.	1	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	4	MEME	3.44e-115	0	4	52	152	5.28e-88	4.75e-87
meme.xml	6	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F6_HUMAN.H11MO.0.A	.	1	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	4	MEME	3.44e-115	23	3	40	152	6.62e-75	5.96e-74
meme.xml	6	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F6_HUMAN.H11MO.0.A	.	1	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	4	MEME	3.44e-115	23	5	40	152	6.00e-63	5.40e-62
meme.xml	6	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F6_HUMAN.H11MO.0.A	.	1	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	4	MEME	3.44e-115	23	7	40	152	6.00e-63	5.40e-62
meme.xml	6	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F6_HUMAN.H11MO.0.A	.	1	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	4	MEME	3.44e-115	23	8	40	152	4.47e-51	4.02e-50
meme.xml	6	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F6_HUMAN.H11MO.0.A	.	1	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	4	MEME	3.44e-115	0	3	15	152	9.52e-23	8.57e-22
meme.xml	6	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F6_HUMAN.H11MO.0.A	.	1	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	4	MEME	3.44e-115	0	7	15	152	2.48e-18	2.24e-17
meme.xml	6	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	4	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	4	MEME	3.93e-112	1	0	52	92	8.09e-119	7.28e-118
