prim_db	prim_id	prim_alt	sec_db	sec_id	sec_alt	trim_left	trim_right	red_db	red_id	red_alt	E-value	gap	orient	count	total	adj_p-value	p-value
meme.xml	4	MEME	meme.xml	6	MEME	0	0	.	.	.	1.07e-169	0	1	76	112	2.60e-176	2.34e-175
meme.xml	4	MEME	meme.xml	6	MEME	0	0	.	.	.	1.07e-169	0	4	76	112	1.83e-153	1.64e-152
meme.xml	4	MEME	meme.xml	6	MEME	0	0	.	.	.	1.07e-169	0	6	76	112	1.83e-153	1.64e-152
meme.xml	4	MEME	meme.xml	6	MEME	0	0	.	.	.	1.07e-169	0	8	76	112	1.19e-130	1.07e-129
meme.xml	4	MEME	meme.xml	6	MEME	0	0	.	.	.	1.07e-169	109	3	6	112	1.71e-08	1.54e-07
meme.xml	4	MEME	meme.xml	6	MEME	0	0	.	.	.	1.07e-169	109	5	6	112	9.10e-07	8.19e-06
meme.xml	4	MEME	meme.xml	6	MEME	0	0	.	.	.	1.07e-169	109	7	6	112	9.10e-07	8.19e-06
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	25	0	44	230	2.49e-74	2.24e-73
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	25	4	44	230	3.11e-61	2.80e-60
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	25	5	44	230	3.11e-61	2.80e-60
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	57	0	32	230	5.36e-50	4.83e-49
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	25	8	44	230	2.77e-48	2.49e-47
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	57	4	32	230	1.61e-40	1.45e-39
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	57	5	32	230	1.61e-40	1.45e-39
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	57	8	33	230	1.52e-32	1.36e-31
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	26	0	10	230	3.66e-12	3.29e-11
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	26	4	10	230	2.58e-09	2.32e-08
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	26	5	10	230	2.58e-09	2.32e-08
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	70	0	7	230	3.75e-08	3.37e-07
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	70	4	8	230	3.44e-07	3.10e-06
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	70	5	8	230	3.44e-07	3.10e-06
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	56	0	6	230	6.31e-07	5.68e-06
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	98	2	6	230	6.31e-07	5.68e-06
meme.xml	4	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP4_HUMAN.H11MO.0.A	.	2	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	6	MEME	1.13e-67	26	8	10	230	1.26e-06	1.13e-05
