feature,p_val,avg_logFC,pct.1,pct.2,p_val_adj,avg_log2FC
RUVBL1,4.36E-64,0.044983077,0.523,0.59,1.47E-59,0.044983077
TIMM10,2.70E-51,0.045055697,0.742,0.812,9.11E-47,0.045055697
THRAP3,4.02E-36,0.045098225,0.813,0.866,1.36E-31,0.045098225
STRA13,2.51E-68,0.045147499,0.547,0.62,8.45E-64,0.045147499
CHPT1,8.24E-71,0.045250909,0.394,0.452,2.78E-66,0.045250909
PGD,2.43E-72,0.045361662,0.448,0.511,8.19E-68,0.045361662
GRPEL1,3.81E-69,0.045400455,0.283,0.317,1.28E-64,0.045400455
MCM5,1.06E-55,0.04555237,0.671,0.746,3.56E-51,0.04555237
SORD,3.40E-61,0.045591122,0.299,0.327,1.15E-56,0.045591122
PLEKHB2,7.40E-71,0.045596724,0.329,0.375,2.49E-66,0.045596724
DSTN,3.89E-63,0.045670193,0.638,0.718,1.31E-58,0.045670193
DKC1,6.58E-53,0.045944793,0.696,0.767,2.22E-48,0.045944793
HPGDS,1.65E-33,0.045972369,0.24,0.263,5.54E-29,0.045972369
NCOA4,6.54E-83,0.045986252,0.379,0.443,2.20E-78,0.045986252
TDG,9.00E-83,0.046077511,0.428,0.5,3.03E-78,0.046077511
PDCD11,1.15E-63,0.046131318,0.332,0.376,3.87E-59,0.046131318
VAT1,1.43E-36,0.046179014,0.207,0.219,4.83E-32,0.046179014
METTL12,1.56E-56,0.04619129,0.21,0.226,5.24E-52,0.04619129
PSMD7,3.77E-37,0.046193373,0.808,0.862,1.27E-32,0.046193373
SMARCC1,2.93E-59,0.046441291,0.658,0.731,9.88E-55,0.046441291
TIMM8B,9.17E-29,0.046461268,0.865,0.906,3.09E-24,0.046461268
TCF25,1.69E-41,0.046492806,0.81,0.87,5.69E-37,0.046492806
HSPA8,9.00E-05,0.046730533,0.988,0.991,1,0.046730533
TRAP1,1.28E-70,0.046881112,0.484,0.55,4.32E-66,0.046881112
CENPV,1.62E-48,0.046958099,0.546,0.6,5.46E-44,0.046958099
TXNL4A,1.22E-44,0.047071621,0.798,0.86,4.11E-40,0.047071621
MT-CO3,1.37E-22,0.047160542,1,1,4.62E-18,0.047160542
SYNGR2,5.10E-75,0.047413613,0.449,0.515,1.72E-70,0.047413613
IQGAP2,1.23E-57,0.047428665,0.758,0.838,4.14E-53,0.047428665
LSM7,1.15E-06,0.0474653,0.982,0.988,0.038787527,0.0474653
EIF4A1,1.81E-57,0.047595778,0.653,0.725,6.09E-53,0.047595778
ADRBK1,4.39E-63,0.047633193,0.594,0.662,1.48E-58,0.047633193
PNP,4.81E-69,0.047666789,0.462,0.529,1.62E-64,0.047666789
PRMT1,3.89E-19,0.047778454,0.91,0.938,1.31E-14,0.047778454
RUNX1,4.33E-58,0.04790305,0.361,0.399,1.46E-53,0.04790305
DCTPP1,7.07E-36,0.047992118,0.807,0.859,2.38E-31,0.047992118
ATP5A1,4.45E-20,0.048224004,0.946,0.97,1.50E-15,0.048224004
PDIA6,1.10E-42,0.048230595,0.791,0.85,3.69E-38,0.048230595
PRPF6,7.21E-71,0.048317013,0.521,0.591,2.43E-66,0.048317013
ANKRD13D,4.70E-72,0.048342603,0.315,0.359,1.58E-67,0.048342603
YIF1A,3.13E-86,0.048510139,0.44,0.508,1.05E-81,0.048510139
COX7A2,4.45E-10,0.048533759,0.983,0.991,1.50E-05,0.048533759
GHITM,4.57E-44,0.048934908,0.791,0.849,1.54E-39,0.048934908
USP48,1.94E-80,0.048972768,0.383,0.436,6.53E-76,0.048972768
FLNA,1.40E-61,0.049036825,0.324,0.362,4.73E-57,0.049036825
THOP1,9.22E-69,0.049099802,0.327,0.365,3.11E-64,0.049099802
ATF4,8.76E-64,0.049115514,0.745,0.824,2.95E-59,0.049115514
GPATCH4,4.84E-58,0.049118833,0.578,0.645,1.63E-53,0.049118833
MAZ,1.07E-39,0.04912832,0.796,0.847,3.61E-35,0.04912832
ATP5B,4.93E-12,0.049340188,0.972,0.983,1.66E-07,0.049340188
IER3IP1,4.25E-76,0.049478074,0.453,0.517,1.43E-71,0.049478074
ALG3,8.43E-75,0.049497022,0.467,0.529,2.84E-70,0.049497022
COX6B1,4.63E-09,0.04957011,0.987,0.993,0.000155996,0.04957011
CCT5,2.13E-22,0.049582402,0.862,0.897,7.16E-18,0.049582402
HSPA9,4.88E-41,0.049915764,0.778,0.835,1.65E-36,0.049915764
PRELID1,9.50E-15,0.049955499,0.953,0.97,3.20E-10,0.049955499
CCT7,4.63E-44,0.050041462,0.825,0.885,1.56E-39,0.050041462
CCT3,6.69E-27,0.05007868,0.907,0.944,2.25E-22,0.05007868
TKT,1.33E-21,0.050095757,0.946,0.972,4.48E-17,0.050095757
PPIB,2.46E-23,0.050288619,0.933,0.966,8.29E-19,0.050288619
POLE3,3.51E-52,0.050397171,0.724,0.79,1.18E-47,0.050397171
NABP2,3.48E-77,0.050686031,0.447,0.504,1.17E-72,0.050686031
RPS27,2.58E-29,0.050713898,1,1,8.70E-25,0.050713898
SON,4.41E-29,0.050750576,0.893,0.931,1.49E-24,0.050750576
NEAT1,2.14E-13,0.051022183,0.923,0.952,7.21E-09,0.051022183
ATOX1,2.71E-40,0.051032757,0.779,0.835,9.12E-36,0.051032757
ADRM1,4.68E-64,0.051070751,0.67,0.74,1.58E-59,0.051070751
ANXA2,1.73E-68,0.051177731,0.563,0.643,5.83E-64,0.051177731
MRPL41,3.66E-50,0.051199273,0.804,0.869,1.23E-45,0.051199273
FDFT1,1.10E-47,0.051344207,0.66,0.717,3.69E-43,0.051344207
HNRNPU,1.47E-29,0.051622939,0.905,0.946,4.96E-25,0.051622939
UQCR11,2.18E-13,0.051776148,0.963,0.977,7.34E-09,0.051776148
NCL,4.26E-05,0.051784334,0.992,0.995,1,0.051784334
GPI,2.71E-68,0.052083029,0.544,0.606,9.14E-64,0.052083029
RBM39,9.54E-47,0.052518288,0.78,0.839,3.21E-42,0.052518288
RNF24,3.00E-71,0.052593508,0.313,0.35,1.01E-66,0.052593508
GARS,3.70E-75,0.05260144,0.572,0.648,1.25E-70,0.05260144
ECI1,1.95E-61,0.052682835,0.584,0.646,6.56E-57,0.052682835
PYGL,5.97E-76,0.052770453,0.36,0.408,2.01E-71,0.052770453
NDUFB2,1.97E-17,0.052913825,0.937,0.958,6.63E-13,0.052913825
KRTCAP2,3.63E-79,0.053100739,0.554,0.629,1.22E-74,0.053100739
RNF130,1.51E-76,0.053165176,0.641,0.731,5.10E-72,0.053165176
UQCR10,1.13E-16,0.053324607,0.965,0.983,3.79E-12,0.053324607
CEBPZ,1.79E-68,0.053511762,0.562,0.625,6.04E-64,0.053511762
STOML2,3.10E-42,0.053533814,0.844,0.896,1.04E-37,0.053533814
HSP90AB1,4.08E-14,0.053617165,0.999,1,1.37E-09,0.053617165
PGP,7.18E-60,0.053872857,0.536,0.589,2.42E-55,0.053872857
RPL22L1,1.79E-14,0.053947043,0.957,0.975,6.03E-10,0.053947043
BRI3BP,6.54E-73,0.053959755,0.413,0.465,2.20E-68,0.053959755
FAM195A,1.80E-64,0.05401111,0.426,0.475,6.07E-60,0.05401111
FDPS,3.71E-42,0.054084672,0.795,0.848,1.25E-37,0.054084672
RAC3,1.20E-64,0.054153878,0.513,0.569,4.06E-60,0.054153878
ADSS,1.37E-78,0.054314903,0.447,0.506,4.60E-74,0.054314903
ARHGDIA,5.46E-52,0.054480198,0.746,0.809,1.84E-47,0.054480198
RHOG,8.57E-67,0.054917965,0.712,0.788,2.89E-62,0.054917965
DDX21,3.71E-27,0.055046179,0.847,0.885,1.25E-22,0.055046179
PDIA3,5.18E-56,0.055185557,0.791,0.861,1.75E-51,0.055185557
SLC1A5,1.15E-58,0.05542992,0.416,0.458,3.87E-54,0.05542992
HSP90B1,5.60E-39,0.055523868,0.818,0.874,1.89E-34,0.055523868
DDX49,1.18E-62,0.05558887,0.491,0.536,3.97E-58,0.05558887
COPE,8.16E-38,0.055818108,0.893,0.937,2.75E-33,0.055818108
PPM1G,2.19E-34,0.055902931,0.901,0.941,7.37E-30,0.055902931
TUBB6,6.87E-55,0.05600764,0.447,0.492,2.31E-50,0.05600764
DDX18,2.80E-44,0.05601566,0.798,0.854,9.42E-40,0.05601566
ROMO1,3.52E-46,0.056139043,0.859,0.913,1.19E-41,0.056139043
TOMM5,3.42E-58,0.056494011,0.637,0.7,1.15E-53,0.056494011
BOP1,2.97E-70,0.05651558,0.346,0.38,1.00E-65,0.05651558
FKBP4,3.76E-49,0.05667391,0.611,0.661,1.27E-44,0.05667391
CYCS,9.57E-29,0.056786994,0.812,0.853,3.23E-24,0.056786994
RNASET2,9.62E-59,0.056846131,0.518,0.575,3.24E-54,0.056846131
NBEAL1,5.04E-67,0.056861058,0.544,0.607,1.70E-62,0.056861058
GALNT1,4.60E-70,0.057009332,0.58,0.645,1.55E-65,0.057009332
DPM3,4.96E-74,0.057173891,0.595,0.666,1.67E-69,0.057173891
PGK1,1.94E-20,0.057209253,0.93,0.955,6.52E-16,0.057209253
RRBP1,1.11E-64,0.057280447,0.565,0.629,3.75E-60,0.057280447
XBP1,2.93E-57,0.057440633,0.692,0.761,9.88E-53,0.057440633
EBNA1BP2,2.03E-48,0.057570652,0.728,0.788,6.83E-44,0.057570652
EIF4EBP1,7.89E-42,0.057586149,0.817,0.87,2.66E-37,0.057586149
CCDC85B,1.19E-41,0.057809646,0.838,0.893,4.00E-37,0.057809646
PLEK,8.00E-66,0.05791756,0.461,0.513,2.69E-61,0.05791756
POLR2I,1.27E-35,0.058237338,0.848,0.892,4.28E-31,0.058237338
SURF4,2.78E-75,0.058686213,0.331,0.368,9.37E-71,0.058686213
TOMM7,4.35E-12,0.059061986,0.976,0.985,1.47E-07,0.059061986
FAM46A,1.61E-38,0.05911302,0.197,0.2,5.43E-34,0.05911302
NOP56,8.90E-31,0.059196691,0.868,0.906,3.00E-26,0.059196691
EIF3B,2.56E-65,0.05926764,0.683,0.749,8.64E-61,0.05926764
SLC27A2,3.01E-35,0.059304151,0.18,0.174,1.01E-30,0.059304151
DCXR,3.15E-49,0.059706934,0.696,0.75,1.06E-44,0.059706934
MCM3,2.64E-44,0.059764378,0.752,0.808,8.89E-40,0.059764378
SUPT16H,7.80E-45,0.060354379,0.798,0.852,2.63E-40,0.060354379
PODXL2,5.02E-51,0.060823896,0.298,0.314,1.69E-46,0.060823896
RPS26,2.35E-15,0.060825539,0.998,0.999,7.92E-11,0.060825539
MYEOV2,2.95E-38,0.060943497,0.884,0.927,9.93E-34,0.060943497
RPL36,4.02E-48,0.06115488,1,1,1.36E-43,0.06115488
NUDC,1.02E-34,0.061292193,0.842,0.885,3.43E-30,0.061292193
AGPAT2,2.41E-80,0.061525497,0.533,0.602,8.14E-76,0.061525497
ACAT2,7.10E-50,0.061818232,0.659,0.717,2.39E-45,0.061818232
RASGRP2,6.28E-74,0.062019134,0.368,0.412,2.11E-69,0.062019134
ALDOA,3.08E-11,0.062360199,0.99,0.993,1.04E-06,0.062360199
RP5-1171I10.5,5.65E-68,0.062615851,0.468,0.525,1.90E-63,0.062615851
AFG3L2,3.47E-71,0.06306504,0.556,0.616,1.17E-66,0.06306504
BCAP31,1.69E-67,0.063312757,0.696,0.763,5.69E-63,0.063312757
RPL28,1.34E-64,0.063569798,1,1,4.51E-60,0.063569798
MYC,5.21E-31,0.063941408,0.598,0.636,1.76E-26,0.063941408
TPI1,1.07E-13,0.064843928,0.985,0.992,3.60E-09,0.064843928
SLC27A5,3.39E-68,0.06485291,0.443,0.487,1.14E-63,0.06485291
FCER1A,2.49E-07,0.064914835,0.122,0.122,0.008384965,0.064914835
PGAM1,1.36E-24,0.064943995,0.9,0.927,4.57E-20,0.064943995
PRAM1,1.22E-51,0.065039664,0.225,0.219,4.12E-47,0.065039664
POLR2L,4.94E-15,0.06520492,0.959,0.972,1.67E-10,0.06520492
LMO4,5.07E-68,0.065599235,0.384,0.451,1.71E-63,0.065599235
TUFM,9.55E-37,0.066935009,0.906,0.942,3.22E-32,0.066935009
IFITM1,2.45E-70,0.066988698,0.25,0.263,8.27E-66,0.066988698
MLEC,1.59E-67,0.06726816,0.632,0.691,5.36E-63,0.06726816
LRPAP1,2.12E-80,0.067351648,0.569,0.639,7.15E-76,0.067351648
LRRC59,3.20E-78,0.067365176,0.536,0.595,1.08E-73,0.067365176
TMEM258,7.96E-27,0.067528128,0.942,0.965,2.68E-22,0.067528128
ATP6V0B,5.91E-59,0.067746577,0.773,0.836,1.99E-54,0.067746577
MTDH,3.34E-33,0.068179297,0.909,0.946,1.12E-28,0.068179297
H1FX,3.29E-48,0.068749611,0.725,0.792,1.11E-43,0.068749611
MRPL52,1.41E-43,0.068825507,0.846,0.894,4.74E-39,0.068825507
ZEB2,8.97E-49,0.068895786,0.292,0.303,3.02E-44,0.068895786
VDAC1,1.09E-45,0.070157919,0.881,0.929,3.66E-41,0.070157919
GAL,2.05E-47,0.070421507,0.352,0.377,6.89E-43,0.070421507
RPS28,2.89E-59,0.070591075,1,1,9.73E-55,0.070591075
SNHG25,4.78E-68,0.07200726,0.521,0.563,1.61E-63,0.07200726
MRPS34,1.73E-60,0.072310542,0.78,0.839,5.82E-56,0.072310542
FAM107B,1.34E-78,0.072636838,0.353,0.393,4.50E-74,0.072636838
RPL41,5.41E-70,0.07296102,1,1,1.82E-65,0.07296102
SLC39A3,8.00E-57,0.073238938,0.726,0.78,2.69E-52,0.073238938
ODC1,1.11E-34,0.074072239,0.82,0.855,3.75E-30,0.074072239
SPI1,4.28E-81,0.074248642,0.555,0.613,1.44E-76,0.074248642
USMG5,2.55E-31,0.074263467,0.939,0.964,8.60E-27,0.074263467
MRPS26,1.93E-57,0.074343265,0.633,0.677,6.51E-53,0.074343265
SDF2L1,1.83E-67,0.074358021,0.617,0.676,6.17E-63,0.074358021
MT-ND5,4.95E-16,0.074529484,0.998,0.998,1.67E-11,0.074529484
RUVBL2,1.35E-67,0.074583252,0.66,0.717,4.57E-63,0.074583252
C14orf2,1.17E-18,0.074931142,0.983,0.988,3.94E-14,0.074931142
ITGA4,2.30E-61,0.075305048,0.543,0.589,7.73E-57,0.075305048
MT-ND4,8.13E-34,0.075317275,0.999,1,2.74E-29,0.075317275
MT2A,7.78E-45,0.075351633,0.411,0.431,2.62E-40,0.075351633
FBL,7.19E-37,0.075659298,0.918,0.95,2.42E-32,0.075659298
FAM45A,2.56E-83,0.076146841,0.373,0.408,8.61E-79,0.076146841
MT-CYB,8.37E-23,0.076282459,0.999,0.999,2.82E-18,0.076282459
TOMM40,1.25E-40,0.076440014,0.802,0.841,4.20E-36,0.076440014
LGALS1,2.96E-21,0.077050917,0.841,0.888,9.97E-17,0.077050917
TIMM13,2.02E-29,0.077592191,0.929,0.952,6.82E-25,0.077592191
ISOC2,4.42E-54,0.078183906,0.623,0.656,1.49E-49,0.078183906
