prim_db	prim_id	prim_alt	sec_db	sec_id	sec_alt	trim_left	trim_right	red_db	red_id	red_alt	E-value	gap	orient	count	total	adj_p-value	p-value
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	6	MEME	0	0	.	.	.	1.94e-83	1	2	41	76	4.71e-90	4.24e-89
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	6	MEME	0	0	.	.	.	1.94e-83	1	6	41	76	9.65e-78	8.69e-77
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	6	MEME	0	0	.	.	.	1.94e-83	1	7	41	76	9.65e-78	8.69e-77
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	6	MEME	0	0	.	.	.	1.94e-83	1	8	41	76	1.84e-65	1.66e-64
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	6	MEME	0	0	.	.	.	1.94e-83	24	3	10	76	1.33e-16	1.20e-15
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	6	MEME	0	0	.	.	.	1.94e-83	24	5	10	76	1.20e-13	1.08e-12
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	6	MEME	0	0	.	.	.	1.94e-83	24	7	10	76	1.20e-13	1.08e-12
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	6	MEME	0	0	.	.	.	1.94e-83	24	8	10	76	9.59e-11	8.63e-10
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	5	MEME	0	0	.	.	.	1.74e-37	15	1	26	133	4.22e-44	3.80e-43
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	5	MEME	0	0	.	.	.	1.74e-37	15	4	26	133	2.29e-36	2.06e-35
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	5	MEME	0	0	.	.	.	1.74e-37	15	6	26	133	2.29e-36	2.06e-35
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	5	MEME	0	0	.	.	.	1.74e-37	15	8	26	133	1.00e-28	9.01e-28
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	5	MEME	0	0	.	.	.	1.74e-37	78	2	18	133	3.32e-28	2.98e-27
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	5	MEME	0	0	.	.	.	1.74e-37	78	6	18	133	6.94e-23	6.24e-22
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	5	MEME	0	0	.	.	.	1.74e-37	78	7	18	133	6.94e-23	6.24e-22
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	meme.xml	5	MEME	0	0	.	.	.	1.74e-37	78	8	18	133	1.16e-17	1.04e-16
HOCOMOCOv11_core_HUMAN_mono_meme_format	E2F1_HUMAN.H11MO.0.A	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	ALX1_HUMAN.H11MO.0.B	.	1	0	HOCOMOCOv11_core_HUMAN_mono_meme_format	5	MEME	1.19e-06	14	1	14	537	2.50e-13	2.25e-12
