"aml_aavs1.genes.results"	"aml_aavs2.genes.results"	"aml_aavs3.genes.results"	"aml_mecom1.genes.results"	"aml_mecom2.genes.results"	"aml_mecom3.genes.results"
"ENSG00000000003_TSPAN6"	0	0	4.06952276847313	0.875001767129887	1.65126473557217	0.700185674160143
"ENSG00000000005_TNMD"	0	0	0	0	0	0
"ENSG00000000419_DPM1"	133.679069962046	75.8443081886862	106.82497267242	109.375220891236	89.1682957208969	148.43936292195
"ENSG00000000457_SCYL3"	40.8495094841916	46.9057816332444	43.8694554441403	30.7213120439303	30.7465493763537	35.3523746883456
"ENSG00000000460_C1orf112"	22.4721552346724	27.63086606943	20.2255281593114	41.9038346278503	30.3502458398164	29.0647073343875
"ENSG00000000938_FGR"	14.0714810486364	22.2302282622011	29.5040400714302	33.2500671509357	28.0715005047268	38.5102120788079
"ENSG00000000971_CFH"	1.40714810486364	0	5.08690346059141	2.62500530138966	4.9537942067165	3.50092837080072
"ENSG00000001036_FUCA2"	81.6145900820913	65.3830243005915	56.9733187586237	102.375206754197	77.6094425718918	109.929150843142
"ENSG00000001084_GCLC"	64.7288128237276	67.9983452726152	52.9037959901506	44.6250901236242	56.9686333772397	63.0167106744129
"ENSG00000001167_NFYA"	144.936254800955	128.150727629159	137.346393435968	127.750258000964	99.0758841343299	127.433792697146
"ENSG00000001460_STPG1"	26.7358139924092	19.7195201290584	21.3649945344839	19.2500388768575	15.0182527700288	20.3053845506441
"ENSG00000001461_NIPAL3"	84.4288862918186	78.3550163218289	57.990699450742	50.7501024935335	50.2067042850717	72.1191244384947
"ENSG00000001497_LAS1L"	102.721811655046	125.535406657136	119.033540977839	188.125379932926	128.798649374629	154.040848315232
"ENSG00000001561_ENPP4"	15.4786291535001	10.4612838880946	12.2085683054194	10.5000212055586	21.4664415624382	14.703899157363
"ENSG00000001617_SEMA3F"	8.44288862918186	16.9995863181538	7.12166484482797	21.8750441782472	9.907588413433	4.901299719121
"ENSG00000001626_CFTR"	7.03574052431821	6.53830243005915	2.03476138423656	3.50000706851955	5.77942657450258	2.80074269664057
"ENSG00000001629_ANKIB1"	50.6573317750911	47.0757774964259	67.1471256798066	61.2501236990921	54.4917362738815	44.8118831462492
"ENSG00000001630_CYP51A1"	140.714810486364	133.250603524606	153.258227460698	188.046629773884	141.18313489142	188.349946349078
"ENSG00000001631_KRIT1"	106.943255969637	75.8443081886862	72.234029140398	84.8751714115991	88.3426633531109	84.0222808992172
"ENSG00000002016_RAD52"	57.6930722994094	45.7681170104141	22.3823752266022	45.5000918907541	33.8509270792294	33.6089123596869
"ENSG00000002330_BAD"	51.9237650694684	50.6064608086578	50.645210853648	60.9526230982679	56.8695574931054	51.8137398878506
"ENSG00000002549_LAP3"	133.552426632608	116.381783255053	142.311211213505	111.09022435481	123.811829873201	126.005413921859
"ENSG00000002586_CD99"	323.644064118638	262.839757688378	304.196826943366	343.875694482046	233.653960083461	268.871298877495
"ENSG00000002587_HS3ST1"	8.44288862918186	6.53830243005915	12.2085683054194	6.12501236990921	7.43069131007475	4.20111404496086
"ENSG00000002726_AOC1"	1.40714810486364	1.30766048601183	5.08690346059141	2.62500530138966	0.825632367786083	0
"ENSG00000002745_WNT16"	0	0	1.01738069211828	0	0.825632367786083	1.40037134832029
"ENSG00000002746_HECW1"	4.22144431459093	9.15362340208281	11.1911876133011	2.62500530138966	13.2101178845773	2.80074269664057
"ENSG00000002822_MAD1L1"	115.386144598819	128.150727629159	135.311632051731	104.125210288457	103.20404597326	100.826737079061
"ENSG00000002834_LASP1"	385.558580732638	354.375991709206	343.874673935979	484.750978989958	430.980095984335	414.509919102805
"ENSG00000002919_SNX11"	26.7358139924092	22.2302282622011	21.3649945344839	26.2500530138966	28.8971328725129	30.8081696630463
"ENSG00000002933_TMEM176A"	1.40714810486364	0	0	0	3.30252947114433	0
"ENSG00000003056_M6PR"	265.556990349867	262.957447132119	243.510068658511	348.626954077561	331.119861100609	351.843301265472
"ENSG00000003096_KLHL13"	0	2.61532097202366	2.03476138423656	2.62500530138966	4.12816183893041	0.700185674160143
"ENSG00000003137_CYP26B1"	2.81429620972729	1.30766048601183	5.08690346059141	1.75000353425977	3.30252947114433	2.10055702248043
"ENSG00000003147_ICA1"	55.5682786610652	50.9987589544614	70.1992677561614	91.0001837815083	70.178751261817	67.9180103935339
"ENSG00000003249_DBNDD1"	1.40714810486364	7.84596291607098	6.10428415270969	2.62500530138966	8.25632367786083	2.10055702248043
"ENSG00000003393_ALS2"	60.5073685091366	57.5370613845205	38.6604663004947	69.1251396032611	59.445530480598	60.2159679777723
"ENSG00000003400_CASP10"	61.9145166140003	60.1523823565442	59.0080801428603	26.2500530138966	42.9328831248763	46.2122544945694
"ENSG00000003402_CFLAR"	156.390440374545	171.29044706269	130.560464219539	270.74304678533	259.463227900454	259.908922248245
"ENSG00000003436_TFPI"	164.636328269046	138.612011517254	115.981398901484	72.6251466717806	71.8300159973892	78.420795505936
"ENSG00000003509_NDUFAF7"	42.6788020205143	23.5378887482129	33.5735628399033	29.1113087924113	37.5910417053004	29.407798314726
"ENSG00000003756_RBM5"	306.448714277204	270.149579805184	231.993319223732	250.583006070657	297.863389326185	270.614761206154
"ENSG00000003987_MTMR7"	9.8500367340455	3.92298145803549	5.08690346059141	7.0000141370391	7.43069131007475	6.00059122755243
"ENSG00000003989_SLC7A2"	5.62859241945457	3.92298145803549	8.13904553694625	5.25001060277932	0.825632367786083	1.40037134832029
"ENSG00000004059_ARF5"	182.675966973398	224.917603594035	194.289190773828	225.750455919511	188.244179855227	217.757744663805
"ENSG00000004139_SARM1"	5.88187907833003	6.69522168838057	9.79737606509905	1.63625330453289	4.62354125960206	2.52066842697652
"ENSG00000004142_POLDIP2"	244.843770246274	214.45631970594	236.032320571441	256.375517769057	216.315680359954	259.068699439253
"ENSG00000004399_PLXND1"	510.794762065502	574.062953359194	486.307970832538	434.000876496424	435.108257823266	411.709176406164
"ENSG00000004455_AK2"	469.987467024457	470.757774964259	405.934896155194	712.251438443728	672.543614151187	775.105541295278
"ENSG00000004468_CD38"	1.40714810486364	5.23064194404732	8.13904553694625	1.75000353425977	2.47689710335825	3.50092837080072
"ENSG00000004478_FKBP4"	578.534871833638	518.578918937712	579.276218478307	857.711732211401	684.597846720864	752.349506885074
"ENSG00000004487_KDM1A"	150.56484722041	154.303937349396	124.12044443843	147.875298644951	118.891060961196	149.839734270271
"ENSG00000004534_RBM6"	150.56484722041	128.150727629159	114.964018209366	133.000268603743	129.624281742415	119.731750281384
"ENSG00000004660_CAMKK1"	35.1787026215911	40.5374750663667	34.5909435320216	28.0000565481564	24.7689710335825	40.6107691012883
