"lthsc_aavs1.genes.results"	"lthsc_aavs2.genes.results"	"lthsc_aavs3.genes.results"	"lthscr_mecom1.genes.results"	"lthscr_mecom2.genes.results"	"lthscr_mecom3.genes.results"
"ENSG00000000003_TSPAN6"	13.0390791389237	12.6401256923139	11.253407930549	13.7347548261568	10.2465952329578	12.0496957741866
"ENSG00000000005_TNMD"	0	1.1491023356649	1.1253407930549	0.915650321743787	1.02465952329578	2.12641690132704
"ENSG00000000419_DPM1"	98.8796834701711	106.866517216836	100.155330581886	142.841450192031	127.057780888676	121.205763375641
"ENSG00000000457_SCYL3"	43.6591833168294	35.6911185457519	44.9123510508211	46.9911745118911	21.8867274175978	34.8307088437369
"ENSG00000000460_C1orf112"	63.9132195792908	58.5352729787701	40.0171186010323	64.7181647408509	63.1600130159518	65.110885518634
"ENSG00000000938_FGR"	21.7317985648728	18.3856373706384	14.6294303097137	10.0721535391817	14.3452333261409	7.79686197153248
"ENSG00000000971_CFH"	122.784661891531	92.9393969085773	109.158056926325	83.3241792786846	51.2329761647889	65.6283136312902
"ENSG00000001036_FUCA2"	103.226043183146	144.786894293778	92.2779450305018	90.6493818526349	79.9234428170707	83.6390647855302
"ENSG00000001084_GCLC"	32.5976978473091	90.7790845175273	63.0190844110744	52.1920683393959	32.7891047454649	45.087126364471
"ENSG00000001167_NFYA"	109.745582752607	97.6736985315167	69.7711291694038	108.046737965767	80.9481023403665	87.8918985881843
"ENSG00000001460_STPG1"	18.4720287801418	16.0874326993086	22.506815861098	16.4817057913882	8.19727618636622	18.4289464781677
"ENSG00000001461_NIPAL3"	82.5808345465165	55.1569121119153	45.013631722196	50.3607676959083	64.553549967634	58.8308676033814
"ENSG00000001497_LAS1L"	116.265122322069	122.953949916145	171.051800544345	171.226610166088	149.600290401184	167.986935204836
"ENSG00000001561_ENPP4"	83.6674244747601	39.0694794126067	56.267039652745	43.035565121958	53.2822952113805	41.8195323927651
"ENSG00000001617_SEMA3F"	6.51953956946183	13.7892280279788	7.8773855513843	4.57825160871893	6.14795713977467	9.21447323908384
"ENSG00000001626_CFTR"	9.77930935419274	8.04371634965432	11.253407930549	8.24085289569408	4.09863809318311	3.5440281688784
"ENSG00000001629_ANKIB1"	83.6674244747601	106.866517216836	99.0299897888312	78.7459276699657	73.775485677296	86.474287320633
"ENSG00000001630_CYP51A1"	288.989457315678	252.802513846279	261.079063988737	218.812957387113	249.514840517755	245.246749286385
"ENSG00000001631_KRIT1"	71.7149352640801	82.735368167873	83.2752186860626	70.5050747742716	79.9234428170707	72.7092819127093
"ENSG00000002016_RAD52"	45.6367769862328	40.2185817482716	43.8882909291411	26.5538593305698	34.8384237920565	31.1874478861299
"ENSG00000002330_BAD"	64.5325758383897	36.7368016712069	48.1870927586108	57.6859702698586	51.0280442601297	50.0487658009008
"ENSG00000002549_LAP3"	110.832172680851	99.8799750159934	102.349745128343	130.022345687618	106.554343827528	126.663566755714
"ENSG00000002586_CD99"	154.295769810597	185.005476042049	194.683957198498	175.804861774807	161.896204680733	155.228433796874
"ENSG00000002587_HS3ST1"	15.2122589954109	19.5347397063033	38.2615869638666	21.9756077218509	30.7397856988733	28.3522253510272
"ENSG00000002726_AOC1"	13.0390791389237	13.7892280279788	12.3787487236039	10.0721535391817	15.3698928494367	12.7585014079622
"ENSG00000002745_WNT16"	3.25976978473091	3.44730700699471	3.3760223791647	4.57825160871893	2.04931904659156	2.83522253510272
"ENSG00000002746_HECW1"	15.2122589954109	18.3856373706384	34.8855645847019	15.5660554696444	13.3205738028451	9.92327887285952
"ENSG00000002822_MAD1L1"	82.5808345465165	87.3317775105326	97.9046489957763	66.8424734872964	69.6768475841129	82.9302591517546
"ENSG00000002834_LASP1"	166.183063625582	152.830610643432	175.553163716564	184.045714670501	171.118140390395	175.074991542593
"ENSG00000002919_SNX11"	19.5586187083855	12.6401256923139	28.1335198263725	24.7225586870822	39.9617214085353	22.6817802808218
"ENSG00000002933_TMEM176A"	7.60612949770547	4.59640934265961	2.2506815861098	10.9878038609254	0	4.25283380265408
"ENSG00000003056_M6PR"	277.471604076295	302.00707585945	312.540898455137	309.324991691486	307.889693559915	277.469053397828
"ENSG00000003096_KLHL13"	41.2904172732582	54.0078097762504	39.3869277569215	47.6138167306769	39.9617214085353	44.6547549278678
"ENSG00000003137_CYP26B1"	8.69271942594911	3.44730700699471	6.7520447583294	9.15650321743787	10.2465952329578	3.5440281688784
"ENSG00000003147_ICA1"	44.5501870579892	44.8149910909312	41.6376093430313	51.2764180176521	55.331614257972	33.313864787457
"ENSG00000003249_DBNDD1"	13.0390791389237	13.7892280279788	16.8801118958235	19.2286567566195	18.443871419324	12.7585014079622
"ENSG00000003393_ALS2"	118.438302178557	112.61202889516	85.5259002721724	81.492878635197	69.6768475841129	89.3095098557357
"ENSG00000003400_CASP10"	82.5808345465165	91.9281868531922	75.3978331346783	67.7581238090402	50.2083166414931	73.006980278895
"ENSG00000003402_CFLAR"	174.940978447226	133.123505586779	140.847653658751	131.542325221712	129.127593125734	122.623374643193
"ENSG00000003436_TFPI"	79.5709804452816	82.735368167873	93.347018783904	62.0261527949241	47.1343380716058	61.992140730021
"ENSG00000003509_NDUFAF7"	26.7192463355111	46.4811894776453	45.013631722196	23.8069083653385	23.5671690358029	30.251824449546
"ENSG00000003756_RBM5"	277.873642349746	258.24925891733	244.840396344955	229.90148278343	241.420030283718	228.880427202505
"ENSG00000003987_MTMR7"	10.8658992824364	8.04371634965432	7.8773855513843	3.66260128697515	5.52291483056424	8.50566760530816
"ENSG00000003989_SLC7A2"	19.5586187083855	9.19281868531922	10.1280671374941	11.9034541826692	9.221935709662	9.21447323908384
"ENSG00000004059_ARF5"	119.351037718281	126.401256923139	135.040895166588	150.010992211285	160.871545157437	143.129121628323
"ENSG00000004139_SARM1"	30.6744336743179	40.0577074212785	34.1203328454246	36.1865007153145	30.9139778178336	37.7793402802437
"ENSG00000004142_POLDIP2"	152.122589954109	173.5144526854	148.544984683247	219.756077218509	202.882585612564	258.005250694348
"ENSG00000004399_PLXND1"	283.59997127159	283.828276909231	226.193499404035	215.17782560979	236.696349881325	265.80211266588
