"lthsc_aavs1.genes.results"	"lthsc_aavs2.genes.results"	"lthsc_aavs3.genes.results"	"lthsc_mecom1.genes.results"	"lthsc_mecom2.genes.results"	"lthsc_mecom3.genes.results"
"ENSG00000000003_TSPAN6"	10.6212759184754	10.2378828550288	9.13072362292985	10.4762699404959	19.0068851154459	7.91907636757111
"ENSG00000000005_TNMD"	0	0.930716623184434	0.913072362292985	0	0	0
"ENSG00000000419_DPM1"	80.5446757151052	86.5566459561524	81.2634402440757	79.6196515477691	91.8666113913219	81.4533569235886
"ENSG00000000457_SCYL3"	35.5635722003618	28.9080583161085	36.440717979113	36.205988914354	26.2189420786957	30.6807644412184
"ENSG00000000460_C1orf112"	52.0619541270603	47.4107047850151	32.4688532031386	52.8423055798615	46.6407841971803	75.6611182090222
"ENSG00000000938_FGR"	17.7021265307923	14.8914659709509	11.8699407098088	23.0477938690911	8.44750449575374	19.2320426069584
"ENSG00000000971_CFH"	100.017014898977	75.276360483157	88.5680191424195	71.2386355953724	89.3534788038352	85.9785434193435
"ENSG00000001036_FUCA2"	84.0851010212636	117.270294521239	74.8719337080248	90.0959214882651	83.4191068955682	62.2213143166301
"ENSG00000001084_GCLC"	26.5531897961885	73.5266132315703	51.1320522884072	38.762198779835	40.4318683928013	47.5144582054267
"ENSG00000001167_NFYA"	89.3957389805013	79.1109129706769	56.6104864621651	80.6672785418187	100.314115887076	90.5037299150984
"ENSG00000001460_STPG1"	15.0468075511735	13.0300327245821	18.2614472458597	12.5715239285951	19.0068851154459	9.05037299150984
"ENSG00000001461_NIPAL3"	67.2680808170109	44.6743979128528	36.5228944917194	42.9527067560333	58.076593408307	53.1709413251203
"ENSG00000001497_LAS1L"	94.706376939739	99.5866786807344	138.786999068534	143.524898184794	110.873496506768	92.7663231629759
"ENSG00000001561_ENPP4"	68.1531871435505	31.6443651882708	45.6536181146493	32.4764368155374	39.069708292861	52.0396447011816
"ENSG00000001617_SEMA3F"	5.3106379592377	11.1685994782132	6.39150653605089	5.23813497024797	5.27969030984609	6.78777974363238
"ENSG00000001626_CFTR"	7.96595693885655	6.51501636229104	9.13072362292985	3.14288098214878	11.6153186816614	5.65648311969365
"ENSG00000001629_ANKIB1"	68.1531871435505	86.5566459561524	80.3503678817827	68.0957546132236	66.5240979040607	81.4533569235886
"ENSG00000001630_CYP51A1"	235.402878606477	204.757657100575	211.832788051973	220.996914394762	238.451933153889	210.421172052604
"ENSG00000001631_KRIT1"	58.4170175516147	67.0115968692792	67.5673548096809	57.6194846727277	50.6850269745224	78.0594670517724
"ENSG00000002016_RAD52"	37.1744657146639	32.5750818114552	35.6098221294264	28.285928839339	22.1746993013536	26.0198223505908
"ENSG00000002330_BAD"	52.5664647331879	29.7550104432064	39.0977585533856	29.3335558333886	52.6596311504049	24.6283275031461
"ENSG00000002549_LAP3"	90.2808453070409	80.897888887191	83.043931350547	108.911302301396	90.7895545681133	123.288706076843
"ENSG00000002586_CD99"	125.685098368626	149.845376332694	157.961518676686	141.429644196695	136.216009994029	135.755594872648
"ENSG00000002587_HS3ST1"	12.3914885715546	15.8221825941354	31.0444603179615	23.0477938690911	25.3425134872612	30.5450088463457
"ENSG00000002726_AOC1"	10.6212759184754	11.1685994782132	10.0437959852228	11.5238969345455	13.7271948055998	11.3129662393873
"ENSG00000002745_WNT16"	2.65531897961885	2.7921498695533	2.73921708687896	7.33338895834716	3.16781418590765	4.52518649575492
"ENSG00000002746_HECW1"	12.3914885715546	14.8914659709509	28.3052432310825	2.09525398809919	9.50344255772296	18.1007459830197
"ENSG00000002822_MAD1L1"	67.2680808170109	70.734463362017	79.4372955194897	115.238969345455	60.1884695322454	63.3526109405689
"ENSG00000002834_LASP1"	135.368161580969	123.78531088353	142.439288517706	161.334557083637	149.943204799629	114.260959017812
"ENSG00000002919_SNX11"	15.9319138777131	10.2378828550288	22.8268090573246	23.0477938690911	21.1187612393843	22.6259324787746
"ENSG00000002933_TMEM176A"	6.19574428577732	3.72286649273774	1.82614472458597	10.4762699404959	5.27969030984609	3.39388987181619
