DB 0 MOTIF	1	MEME
 113.5	22
 114.5	25.5
 115.5	17
 116.5	29
 117.5	25
 118.5	26
 119.5	26
 120.5	17
 121.5	20.3333
 122.5	24.5
 123.5	18.5
 124.5	27.75
 125.5	22
 126.5	15
 127.5	26.5
 128.5	19.5
 129.5	30
 130.5	20
 131.5	22
 132.5	21
 133.5	26
 134.5	36
 135.5	22.5
 136.5	28
 137.5	23
 138.5	21.5
 139.5	17
 140.5	19
 141.5	20
 142.5	23
 143.5	19
 144.5	18
 145.5	16.5
 146.5	29
 147.5	14
 148.5	20
 149.5	16
 150.5	21
 151.5	16
 152.5	19
 153.5	23
 154.5	15
 155.5	23.5
 156.5	18.5
 157.5	22
 158.5	13.5
 159.5	26
 160.5	23
 161.5	21.5
 162.5	25
 163.5	22.25
 164.5	23.5
 165.5	17
 166.5	24
 167.5	24
 168.5	18.3333
 169.5	11
 170.5	17
 171.5	11
 172.5	17.5
 173.5	16
 174.5	16
 175.5	24
 176.5	24
 177.5	20
 178.5	7.5
 179.5	14
 180.5	18.5
 181.5	19
 182.5	19
 183.5	12.3333
 184.5	19.5
 185.5	19
 186.5	18
 187.5	13
 188.5	10
 189.5	18.5
 190.5	26
 191.5	19.5
 192.5	14.5
 193.5	28
 194.5	19.3333
 195.5	28
 196.5	23
 197.5	20
 198.5	16
 199.5	16.5
 200.5	13
 201.5	23
 202.5	24.25
 203.5	17
 204.5	24
 205.5	17.5
 206.5	20
 207.5	18
 208.5	22
 209.5	13
 210.5	19
 211.5	24
 212.5	25
 213.5	24
 214.5	23.5
 215.5	16
 216.5	18
 217.5	23.5
 218.5	23
 219.5	19.5
 220.5	22.8333
 221.5	12
 222.5	19.5
 223.5	21
 224.5	16
 225.5	15
 226.5	17
 227.5	20
 228.5	17
 229.5	24
 230.5	15
 231.5	17
 232.5	15
 233.5	29
 234.5	13
 235.5	16
 236.5	21
 237.5	20.5
 238.5	20
 239.5	20
 240.5	24
 241.5	15.25
 242.5	21
 243.5	20
 244.5	24.5
DB 0 MOTIF	2	MEME
-239.5	14
-238.5	18
-237.5	17
-236.5	9
-235.5	11
-234.5	22.5
-233.5	9
-232.5	11
-231.5	13
-230.5	11
-229.5	15.8333
-228.5	14
-227.5	13
-226.5	16
-225.5	5
-224.5	12
-223.5	17
-222.5	10
-221.5	10
-220.5	10.3333
-219.5	14
-218.5	19
-217.5	11
-216.5	14
-215.5	10
-214.5	10
-213.5	9
-212.5	9.5
-211.5	7.33333
-210.5	11
-209.5	15
-208.5	10
-207.5	12
-206.5	13
-205.5	10
-204.5	8
-203.5	8.125
-202.5	13.5
-201.5	12
-200.5	6
-199.5	8
-198.5	9
-197.5	15
-196.5	14
-195.5	12
-194.5	11
-193.5	7
-192.5	12
-191.5	6
-190.5	8
-189.5	13
-188.5	16
-187.5	9
-186.5	10
-185.5	12
-184.5	14
-183.5	13
-182.5	10
-181.5	17
-180.5	8
-179.5	7.5
-178.5	8
-177.5	8
-176.5	15
-175.5	11
-174.5	9
-173.5	10
-172.5	10
-171.5	5
-170.5	10
-169.5	11.5
-168.5	15
-167.5	12
-166.5	7
-165.5	13
-164.5	15.25
-163.5	10
-162.5	13
-161.5	14
-160.5	17
-159.5	10
-158.5	15
-157.5	17
-156.5	13
-155.5	8
-154.5	8
-153.5	14
-152.5	10
-151.5	10
-150.5	14
-149.5	12
-148.5	8
-147.5	7
-146.5	10
-145.5	11
-144.5	7.25
-143.5	15
-142.5	17
-141.5	17
-140.5	13.125
-139.5	15
-138.5	12
-137.5	17
-136.5	13
-135.5	4
-134.5	15
-133.5	11
-132.5	14
-131.5	9
-130.5	10
-129.5	6
-128.5	10
-127.5	8.5
-126.5	10
-125.5	10
-124.5	11
-123.5	8
-122.5	16
-121.5	8
-120.5	15
-119.5	18
-118.5	13
-117.5	13
-116.5	6
-115.5	20
-114.5	11
-113.5	12
-112.5	14
-111.5	11
-110.5	19
-109.5	9.5
-108.5	14.3333
-107.5	16
-106.5	15
-105.5	8.33333
-104.5	9.25
-103.5	21
-102.5	16.3333
-101.5	14
-100.5	10
 -99.5	7
 -98.5	15
 -97.5	12
 -96.5	17
 -95.5	14
 -94.5	18.5
 -93.5	17
 -92.5	13
 -91.5	12
 -90.5	12
 -89.5	16.25
 -88.5	12.5833
 -87.5	13.25
 -86.5	16.25
 -85.5	9.33333
 -84.5	6
 -83.5	12
 -82.5	12.3333
 -81.5	13
 -80.5	20
 -79.5	10
 -78.5	9
 -77.5	16.125
 -76.5	9
 -75.5	11
 -74.5	21
 -73.5	8.5
 -72.5	17
 -71.5	14
 -70.5	16
 -69.5	9
 -68.5	16
 -67.5	5
 -66.5	4
 -65.5	12
 -64.5	19.25
 -63.5	7
 -62.5	19.5
 -61.5	14.5
 -60.5	13
 -59.5	12
 -58.5	10
 -57.5	19
 -56.5	11
 -55.5	14
 -54.5	21
 -53.5	16
 -52.5	8
 -51.5	15
 -50.5	16
 -49.5	10.5
 -48.5	22
 -47.5	23
 -46.5	21
 -45.5	11
 -44.5	11
 -43.5	13
 -42.5	12
 -41.5	19.5
 -40.5	10
 -39.5	11
 -38.5	15
 -37.5	14
 -36.5	16
 -35.5	16
 -34.5	15
