prim_db	prim_id	prim_alt	sec_db	sec_id	sec_alt	trim_left	trim_right	red_db	red_id	red_alt	E-value	gap	orient	count	total	adj_p-value	p-value
meme.xml	5	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN770_HUMAN.H11MO.0.C	.	0	1	.	.	.	9.57e-184	5	1	92	210	2.16e-190	1.95e-189
meme.xml	5	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN770_HUMAN.H11MO.0.C	.	0	1	.	.	.	9.57e-184	5	4	92	210	8.55e-163	7.70e-162
meme.xml	5	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN770_HUMAN.H11MO.0.C	.	0	1	.	.	.	9.57e-184	5	6	92	210	8.55e-163	7.70e-162
meme.xml	5	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN770_HUMAN.H11MO.0.C	.	0	1	.	.	.	9.57e-184	5	8	92	210	2.70e-135	2.43e-134
meme.xml	5	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN770_HUMAN.H11MO.0.C	.	0	1	.	.	.	9.57e-184	37	1	16	210	1.04e-21	9.37e-21
meme.xml	5	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN770_HUMAN.H11MO.0.C	.	0	1	.	.	.	9.57e-184	37	4	16	210	4.80e-17	4.32e-16
meme.xml	5	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN770_HUMAN.H11MO.0.C	.	0	1	.	.	.	9.57e-184	37	6	16	210	4.80e-17	4.32e-16
meme.xml	5	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN770_HUMAN.H11MO.0.C	.	0	1	.	.	.	9.57e-184	37	8	16	210	1.56e-12	1.40e-11
meme.xml	5	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN770_HUMAN.H11MO.0.C	.	0	1	.	.	.	9.57e-184	79	3	6	210	4.45e-07	4.01e-06
meme.xml	5	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	IKZF1_HUMAN.H11MO.0.C	.	0	0	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN770_HUMAN.H11MO.0.C	.	7.69e-93	3	1	54	213	1.58e-99	1.42e-98
meme.xml	5	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	IKZF1_HUMAN.H11MO.0.C	.	0	0	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN770_HUMAN.H11MO.0.C	.	7.69e-93	3	4	54	213	2.17e-83	1.95e-82
meme.xml	5	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	IKZF1_HUMAN.H11MO.0.C	.	0	0	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN770_HUMAN.H11MO.0.C	.	7.69e-93	3	6	54	213	2.17e-83	1.95e-82
